Benchmark,1k_256_64 Hitrate,2k_256_64 Hitrate,4k_256_64 Hitrate,512_64_16 Hitrate,1k_64_16 Hitrate,2k_64_16 Hitrate
500.perlbench_r,,,,,,
502.gcc_r,,,,,,
503.bwaves_r,,,,,,
505.mcf_r,,,,,,
507.cactuBSSN_r,,,,,,
508.namd_r,,,,,,
510.parest_r,,,,,,
511.povray_r,,,,,,
519.lbm_r,,,,,,
520.omnetpp_r,,,,,,
521.wrf_r,,,,,,
523.xalancbmk_r,,,,,,
525.x264_r,,,,,,
526.blender_r,,,,,,
527.cam4_r,,,,,,
531.deepsjeng_r,,,,,,
538.imagick_r,,,,,,
541.leela_r,,,,,,
544.nab_r,,,,,,
548.exchange2_r,,,,,,
549.fotonik3d_r,,,,,,
554.roms_r,,,,,,
557.xz_r,,,,,,
mix1,0.9112,0.92,0.9213,0.9203,0.9111,0.9203
mix2,0.9095,0.92,0.9338,0.9196,0.9099,0.9196
mix3,0.8877,0.91,0.9239,0.9088,0.8889,0.9088
mix4,0.9136,0.94,0.9558,0.9391,0.9138,0.9391
PageRank.ljournal,,,,,,
Bellmanford.ljournal,,,,,,
Freqmine,,,,,,
Dedup,,,,,,
Fluidaminate,,,,,,
Low MPKI Geomean,,,,,,
Medium MPKI Geomean,,,,,,
High MPKI Geomean,,,,,,
