Benchmark,NoCompHitrate,FPC Hitrate,BestBDI Hitrate,NoRestrict Hitrate,FPC CF,BestBDI CF,NoRestrict CF
500.perlbench_r,,,,,1.4242,,
502.gcc_r,0.8242,0.8838,,,1.6153,,
503.bwaves_r,0.1965,0.2232,0.222139,0.229638,1.541919,1.499245,1.5636855
505.mcf_r,,,0.932119,0.932311,1.389928,1.46183,1.548032
507.cactuBSSN_r,0.7089,0.788,0.88731,0.906881,1.0945,1.14247,1.3389265
508.namd_r,,,,,1.2306,,
510.parest_r,0.26172,0.274623,0.275173,,1.5501,1.597163,1.711846
511.povray_r,,,,,1.3021,,
519.lbm_r,0.888702,0.943036,0.942127,,1.2677,1.6975345,1.7741935
520.omnetpp_r,,,,,Failed,,
521.wrf_r,,,,,1.2565,,
523.xalancbmk_r,0.987563,0.990887,0.99091,,1.3116,1.8649035,1.8990525
525.x264_r,,,,,1.1116,,
526.blender_r,0.7007,0.7155,0.719603,0.72048,1.7237,1.310447,1.3153085
527.cam4_r,,,,,1,1,1
531.deepsjeng_r,,,0.501399,0.501435,1.3184,1.496298,1.516071
538.imagick_r,,,,,1.1121,,
541.leela_r,,,,,1.5201,,
544.nab_r,,,,,1.5669,,
548.exchange2_r,,,,,1.2311,,
549.fotonik3d_r,0.7163,0.8203,0.824307,0.859335,1.7807,1.985169,3.824923
554.roms_r,,,0.929022,0.930075,1.7309,2.04934,2.076812
557.xz_r,0.7815,0.7938,0.777284,0.781426,1.4588,2.902889,3.177033
mix1,0.8598,0.9165,,,1.82605,,
mix2,0.8549,0.9116,,,1.6595,,
mix3,0.8549,0.9121,,,1.87,,
mix4,0.8598,0.9092,,,1.7736,,
PageRank.ljournal,,,,,1.1752,,
Bellmanford.ljournal,,,,,1.6408,,
Freqmine,,,,,1.7662,,
Dedup,,,,,1.5767,,
Fluidaminate,,,,,1.386,,
Memory Insensitive Group,,,,,1.316122534,1.389568889,1.451469298
Memory Intensive Group,,,,,1.529396457,1.965130889,2.334342113
