Benchmark,1GB Hitrate,2GB Hitrate,4GB Hitrate,1GB Period,2GB Period,4GB Period,1GB Speedup,2GB Speedup,4GB Speedup
500.perlbench_r,,,,,,,,,
502.gcc_r,0.996308,1,1,8842,8564,8497,1,1.032461,1.040603
503.bwaves_r,1,1,1,2384,2383,2383,1,1.000419639,1.000419639
505.mcf_r,0.93556,1,1,8488,8177,8177,1,1.038033509,1.038033509
507.cactuBSSN_r,0.804107,0.821514,0.899253,3841,3824,3777,1,1.004445607,1.016944665
508.namd_r,,,,,,,,,
510.parest_r,1,1,1,6072,6055,6066,1,1.002807597,1.00098912
511.povray_r,,,,,,,,,
519.lbm_r,0.910603,0.936738,1,2600,2590,2465,1,1.003861004,1.054766734
520.omnetpp_r,0.945009,1,1,7558,7091,7091,1,1.065858,1.065858
521.wrf_r,,,,,,,,,
523.xalancbmk_r,1,1,1,11931,11931,11931,1,1,1
525.x264_r,,,,,,,,,
526.blender_r,1,1,1,4820,4817,4819,1,1.000622794,1.000207512
527.cam4_r,1,1,1,3853,3831,3847,1,1.005742626,1.001559657
531.deepsjeng_r,0.728502,0.878125,1,1461,1456,1458,1,1.003434066,1.002057613
538.imagick_r,,,,,,,,,
541.leela_r,,,,,,,,,
544.nab_r,,,,,,,,,
548.exchange2_r,,,,,,,,,
549.fotonik3d_r,0.849623,0.870236,0.944337,1070,1028,954,1,1.040856031,1.121593291
554.roms_r,0.9447,0.964314,0.999814,6806,6651,6442,1,1.023304766,1.056504191
557.xz_r,1,1,1,5635,5635,5635,1,1,1
mix1,0.955331439,1,1,1906,1763,1763,1,1.081111741,1.081111741
mix2,0.954223774,0.997224191,1,2277,2084,2076,1,1.092610365,1.096820809
mix3,0.977098179,0.999850261,1,2958,2851,2851,1,1.037530691,1.037530691
mix4,0.970159358,0.995172226,1,5145,4983,4963,1,1.032510536,1.036671368
PageRank.ljournal,,,,,,,,,
Bellmanford.ljournal,,,,,,,,,
Freqmine,,,,,,,,,
Dedup,,,,,,,,,
Fluidaminate,,,,,,,,,
Memory Insensitive Group,0.936406682,0.964364593,0.988270351,,,,1,1.009064846,1.009580314
Memory Intensive Group,0.897860765,0.934153821,0.981090346,,,,0.981090346,0.981090346,0.981090346
