Benchmark,SlowSwap Speedup,FastSwap Speedup,Slowdown
500.perlbench_r,,,
502.gcc_r,,,
503.bwaves_r,2389,2388,0.999581415
505.mcf_r,,,
507.cactuBSSN_r,7080,6622,0.935310734
508.namd_r,,,
510.parest_r,,,
511.povray_r,,,
519.lbm_r,,,
520.omnetpp_r,,,
521.wrf_r,,,
523.xalancbmk_r,,,
525.x264_r,,,
526.blender_r,,,
527.cam4_r,,,
531.deepsjeng_r,,,
538.imagick_r,,,
541.leela_r,,,
544.nab_r,,,
548.exchange2_r,,,
549.fotonik3d_r,6561,5857,0.892699284
554.roms_r,,,
557.xz_r,,,
mix1,2747,2573,0.936658173
mix2,3117,2907,0.932627526
mix3,3656,3543,0.969091904
mix4,6127,6095,0.994777216
PageRank.ljournal,,,
Bellmanford.ljournal,,,
Freqmine,,,
Dedup,,,
Fluidaminate,,,
Memory Insensitive Group,,,0.966912213
Memory Intensive Group,,,0.913756654
