Benchmark,16 Hitrate,256 Hitrate,1K Hitrate,4K Hitrate,Random Hitrate,16 Period,256 Period,1K Period,4K Period,Random Period,16 Slowdown,256 Slowdown,1K Slowdown,4K Slowdown
500.perlbench_r,,,,,,,,,,,,,,
502.gcc_r,,,,,,,,,,,,,,
503.bwaves_r,,,,,,,,,,,,,,
505.mcf_r,,,,,,,,,,,,,,
507.cactuBSSN_r,,,,,,,,,,,,,,
508.namd_r,,,,,,,,,,,,,,
510.parest_r,,,,,,,,,,,,,,
511.povray_r,,,,,,,,,,,,,,
519.lbm_r,,,,,,,,,,,,,,
520.omnetpp_r,,,,,,,,,,,,,,
521.wrf_r,,,,,,,,,,,,,,
523.xalancbmk_r,,,,,,,,,,,,,,
525.x264_r,,,,,,,,,,,,,,
526.blender_r,,,,,,,,,,,,,,
527.cam4_r,,,,,,,,,,,,,,
531.deepsjeng_r,,,,,,,,,,,,,,
538.imagick_r,,,,,,,,,,,,,,
541.leela_r,,,,,,,,,,,,,,
544.nab_r,,,,,,,,,,,,,,
548.exchange2_r,,,,,,,,,,,,,,
549.fotonik3d_r,,,,,,,,,,,,,,
554.roms_r,,,,,,,,,,,,,,
557.xz_r,,,,,,,,,,,,,,
mix1,0.9,0.9,0.92,0.92,0.9,2250,2251,2253,2251,2243,0.996888889,0.996446024,0.995561474,1.000726216
mix2,0.85,0.88,0.92,0.92,0.93,2401,2320,2219,2211,2218,0.923781758,0.956034483,0.999549347,0.996446024
mix3,0.85,0.87,0.91,0.91,0.91,3218,3161,3020,3067,3032,0.942200124,0.95919013,1.00397351,1.003165988
mix4,0.88,0.89,0.94,0.94,0.95,5383,5359,5053,5033,5051,0.938324354,0.942526591,0.999604196,0.988588197
PageRank.ljournal,,,,,,,,,,,,,,
Bellmanford.ljournal,,,,,,,,,,,,,,
Freqmine,,,,,,,,,,,,,,
Dedup,,,,,,,,,,,,,,
Fluidaminate,,,,,,,,,,,,,,
Low MPKI Geomean,,,,,,,,,,,,,,
Medium MPKI Geomean,,,,,,,,,,,,,,
High MPKI Geomean,,,,,,,,,,,,,,
