Benchmark,Slow-Only,SILC-FM,Baryon (Low Assoc),Hybrid2,Baryon (High Assoc)
500.perlbench_r,,,,,
502.gcc_r,1,1.540486758,2.939617268,2.449201757,2.93368072
503.bwaves_r,1,1.802139503,3.881790933,3.652564781,5.084907975
505.mcf_r,1,2.003800716,1.86520829,2.168351784,2.331785346
507.cactuBSSN_r,1,1.086018671,1.762989628,2.091754902,2.121569221
508.namd_r,1,1.849883053,1.642439116,1.631046119,2.508650519
510.parest_r,1,1.653923541,1.429565217,1.0703125,1.624505929
511.povray_r,1,,,,
519.lbm_r,1,1.195987345,2.358657205,3.502969199,5.143808543
520.omnetpp_r,1,1.464191605,1.185477265,1.080770366,1.120626632
521.wrf_r,1,1.349777001,1.035630058,1.173491577,1.741789971
523.xalancbmk_r,1,1.874358259,0.5050104871,0.5080660409,0.7650964671
525.x264_r,1,1.226589115,1.472959489,2.157240976,2.615520907
526.blender_r,1,1.973656965,3.184396944,3.681891341,3.681891341
527.cam4_r,1,,,,
531.deepsjeng_r,1,1.368070953,1.876403618,1.343176109,1.882421967
538.imagick_r,1,,,,
541.leela_r,1,,,,
544.nab_r,1,1.522940674,1.661389827,1.444197106,2.119227914
548.exchange2_r,1,,,,
549.fotonik3d_r,1,1.353463344,4.010765793,3.875621565,5.132150267
554.roms_r,1,1.044451498,1.146549142,1.067515039,1.143989803
557.xz_r,1,1.235877106,1.187974632,1.386347754,1.410952704
mix1,1,1.547363984,1.457392767,2.054254251,2.160817245
mix2,1,1.362907044,1.505694828,1.450589052,1.571764148
mix3,1,1.374540714,2.022960435,5.011401617,5.351792564
mix4,1,1.234967963,1.936601196,2.789009701,2.87802649
PageRank.ljournal,,,,,
Bellmanford.ljournal,,,,,
Freqmine,1,0.6130755058,0.7690883397,0.8056511736,0.8416558753
Dedup,1,1.790601839,4.243959328,6.116713941,6.728102612
Fluidaminate,,,,,
Blackscholes,,,,,
Raytrace,,,,,
Vips,,,,,
Streamcluster,,,,,
Facesim,,,,,
Canneal,1,1.172995781,1.01459854,3.706666667,3.34939759
Bodytrack,,,,,
Ferret,1,1.108483976,1.011909669,1.068663397,1.127667516
x264,,,,,
Swaptions,,,,,
Geomean,1,1.38889308,1.655316165,1.915906256,2.300594021
